week_start_date,sku_id,category,current_price,recommended_price,predicted_gross_margin,price_change_pct,current_quantity,predicted_quantity,volume_change_pct,historical_revenue,cost_price,predicted_revenue,revenue_change_pct,historical_profit,predicted_profit,profit_change_pct,elasticity,elasticity_p_value,elasticity_significant
2024-07-01,SKU0001,Electronics,11365.814729729733,10220.201876866526,21.723659704726213,-10.07946091067814,148,168.8369308299278,14.079007317518787,1682140.5800000005,8000,1725547.517352412,2.5804583676598103,498140.5800000004,374852.0707129895,-24.749742188642976,-1.2398,0.4324,False
2024-07-08,SKU0001,Electronics,10764.77175,9799.539175034823,18.363508149641415,-8.966586541560229,160,179.76403035212064,12.35251897007541,1722363.48,8000,1761604.6576977551,2.27833312500072,442363.48,323492.41488079,-26.871808025203613,-1.2398,0.4324,False
2024-07-15,SKU0001,Electronics,12962.745842696631,,,,89,,,1153684.3800000001,8000,,,441684.3800000002,,,-0.6959,0.4324,False
2024-07-22,SKU0001,Electronics,12968.80761904762,,,,84,,,1089379.84,8000,,,417379.8400000001,,,-0.6959,0.4324,False
2024-07-29,SKU0001,Electronics,13073.121692307692,,,,65,,,849752.9099999999,8000,,,329752.91,,,-0.6959,0.4324,False
2024-08-05,SKU0001,Electronics,11324.75448275862,10015.402719586009,20.123032253557913,-11.561855624914742,116,135.08719577537792,16.4544791167051,1313671.52,8000,1352952.6679499676,2.990180372485174,385671.52,272255.1017469443,-29.40751711535654,-1.2398,0.4324,False
2024-08-12,SKU0001,Electronics,11012.749444444444,,,,126,,,1387606.43,8000,,,379606.42999999993,,,-1.2398,0.4324,False
2024-08-19,SKU0001,Electronics,12958.994933333332,,,,75,,,971924.6199999999,8000,,,371924.6199999999,,,-0.6959,0.4324,False
2024-08-26,SKU0001,Electronics,12547.79042857143,,,,70,,,878345.3300000001,8000,,,318345.33000000013,,,-0.6959,0.4324,False
2024-09-02,SKU0001,Electronics,11294.97757009346,,,,107,,,1208562.6000000003,8000,,,352562.60000000027,,,-0.6959,0.4324,False
2024-09-09,SKU0001,Electronics,12304.032068965518,,,,87,,,1070450.79,8000,,,374450.7900000001,,,-0.6959,0.4324,False
2024-09-16,SKU0001,Electronics,11837.069745762712,10217.38356649153,21.702068362820015,-13.683168335229057,118,141.61550905044504,20.013143263089027,1396774.23,8000,1446939.9749323498,3.591542846000939,452774.23000000004,314015.9025287893,-30.646251106475454,-1.2398,0.4324,False
2024-09-23,SKU0001,Electronics,10325.4685840708,,,,113,,,1166777.9500000004,8000,,,262777.9500000005,,,-1.2398,0.4324,False
2024-09-30,SKU0001,Electronics,11826.990476190476,,,,84,,,993467.2,8000,,,321467.2,,,-0.6959,0.4324,False
2024-10-07,SKU0001,Electronics,12693.994102564104,,,,78,,,990131.54,8000,,,366131.5400000001,,,-0.6959,0.4324,False
2024-10-14,SKU0001,Electronics,12409.781222222224,,,,90,,,1116880.31,8000,,,396880.3100000001,,,-0.6959,0.4324,False
2024-10-21,SKU0001,Electronics,11862.897014925373,,,,67,,,794814.1,8000,,,258814.09999999998,,,-0.6959,0.4324,False
2024-10-28,SKU0001,Electronics,12639.402298850577,,,,87,,,1099628.0000000002,8000,,,403628.0000000002,,,-0.6959,0.4324,False
2024-11-04,SKU0001,Electronics,11484.985757575758,9980.596466332698,19.84446994740039,-13.098747556136326,99,109.16086700658703,10.263502026855576,1137013.59,8000,1089490.563507756,-4.179635750197508,345013.59,216203.62745505982,-37.3347503630046,-0.6959,0.4324,False
2024-11-11,SKU0001,Electronics,12297.007857142858,,,,70,,,860790.55,8000,,,300790.5500000001,,,-0.6959,0.4324,False
2024-11-18,SKU0001,Electronics,11518.121627906976,,,,86,,,990558.46,8000,,,302558.4599999999,,,-0.6959,0.4324,False
2024-11-25,SKU0001,Electronics,12688.610975609758,,,,82,,,1040466.1000000001,8000,,,384466.1000000001,,,-0.6959,0.4324,False
2024-12-02,SKU0001,Electronics,12953.39792682927,,,,82,,,1062178.6300000001,8000,,,406178.6300000001,,,-0.6959,0.4324,False
2024-12-09,SKU0001,Electronics,11568.77448275862,,,,87,,,1006483.3799999999,8000,,,310483.3799999999,,,-0.6959,0.4324,False
2024-12-16,SKU0001,Electronics,11564.656636363636,,,,110,,,1272112.23,8000,,,392112.2299999999,,,-0.6959,0.4324,False
2024-12-23,SKU0001,Electronics,12246.598068181816,9854.283231814763,18.817027968388103,-19.534525613138108,88,102.36911958417518,16.328544982017256,1077700.63,8000,1008774.2985739778,-6.395684432885796,373700.62999999983,189821.3419005763,-49.204971396334976,-0.6959,0.4324,False
