SKU_ID,Product_Name,Category,n_obs,price_cv_pct,sku_elasticity,normal_elasticity,promo_elasticity,category_elasticity,final_elasticity,elasticity_source,elasticity,std_err,p_value,r_squared,significant,vif_log_price,vif_log_comp_price,high_multicollinearity,classification,data_flags
SKU0027,Shampoo 650ml,Beauty & Personal Care,27,6.06,-3.588,-3.588,-0.2553,-0.7596,-3.588,sku,-3.588,1.5191,0.0182,0.4628,True,1.027,1.027,False,ELASTIC,OK
SKU0040,Planner 2025,Books & Stationery,27,4.98,-3.5786,-3.5786,-3.7724,-0.6821,-3.5786,category,-3.5786,3.0316,0.2378,0.4057,False,1.0082,1.0082,False,INSUFFICIENT_DATA,LOW_PRICE_VARIATION(cv=5.0%)
SKU0021,Mixer Grinder,Home & Kitchen,27,6.48,-3.1029,-3.1029,1.4392,-0.7637,-3.1029,sku,-3.1029,0.9687,0.0014,0.586,True,1.0063,1.0063,False,ELASTIC,OK
SKU0039,Notebook Pack,Books & Stationery,27,5.39,-3.0783,-3.0783,-0.0801,-0.6821,-3.0783,sku,-3.0783,1.4674,0.0359,0.5221,True,1.0003,1.0003,False,ELASTIC,OK
SKU0015,Denim Jeans,Apparel,27,6.55,-3.0115,-3.0115,-1.2282,-0.8507,-3.0115,sku,-3.0115,1.3421,0.0248,0.5023,True,1.214,1.214,False,ELASTIC,OK
SKU0007,Wireless Headphones Max,Electronics,27,8.14,-2.5623,-2.5623,-1.1019,-1.9363,-2.5623,sku,-2.5623,1.2205,0.0358,0.4574,True,1.0145,1.0145,False,ELASTIC,OK
SKU0037,Sports Bottle,Sports & Fitness,27,5.39,-2.5449,-2.5449,-4.9844,-1.4654,-2.5449,sku,-2.5449,1.144,0.0261,0.3832,True,1.0187,1.0187,False,ELASTIC,OK
SKU0005,Bluetooth Speaker Pro,Electronics,27,7.19,-2.4587,-2.4587,-3.7896,-1.9363,-2.4587,sku,-2.4587,0.411,0.0,0.6058,True,1.0088,1.0088,False,ELASTIC,OK
SKU0009,Organic Olive Oil 1L,Groceries,27,6.2,-2.3852,-2.3852,-0.6142,-0.2207,-2.3852,category,-2.3852,1.4727,0.1053,0.4135,False,1.0089,1.0089,False,NOT_SIGNIFICANT,OK
SKU0049,Pet Bed,Pet Supplies,27,5.61,-2.1919,-2.1919,-0.5177,-1.2142,-2.1919,category,-2.1919,1.5481,0.1568,0.1996,False,1.0231,1.0231,False,NOT_SIGNIFICANT,OK
SKU0043,Desk Organizer,Books & Stationery,27,7.84,-2.1452,-2.1452,-0.6769,-0.6821,-2.1452,sku,-2.1452,1.0878,0.0486,0.3742,True,1.1324,1.1324,False,ELASTIC,OK
SKU0018,Hoodie Classic,Apparel,27,7.54,-2.1046,-2.1046,0.5354,-0.8507,-2.1046,sku,-2.1046,0.496,0.0,0.5304,True,1.0,1.0,False,ELASTIC,OK
SKU0006,Laptop Air 14,Electronics,27,5.78,-2.0946,-2.0946,0.9605,-1.9363,-2.0946,sku,-2.0946,0.4329,0.0,0.4824,True,1.0646,1.0646,False,ELASTIC,OK
SKU0013,Green Tea 100g,Groceries,27,7.9,-1.9587,-1.9587,0.3268,-0.2207,-1.9587,sku,-1.9587,0.8737,0.025,0.4158,True,1.0414,1.0414,False,ELASTIC,OK
SKU0048,Cat Litter 10kg,Pet Supplies,27,6.38,-1.9437,-1.9437,-0.1011,-1.2142,-1.9437,sku,-1.9437,0.6192,0.0017,0.3911,True,1.0048,1.0048,False,ELASTIC,OK
SKU0044,Dog Food 5kg,Pet Supplies,27,6.35,-1.9091,-1.9091,-1.1712,-1.2142,-1.9091,category,-1.9091,1.2037,0.1127,0.429,False,1.0006,1.0006,False,NOT_SIGNIFICANT,OK
SKU0004,Smartwatch Series 5,Electronics,26,6.62,-1.8797,-1.8797,0.0483,-1.9363,-1.8797,sku,-1.8797,0.6023,0.0018,0.6646,True,1.0001,1.0001,False,ELASTIC,OK
SKU0047,Chew Toy Pack,Pet Supplies,27,6.9,-1.8668,-1.8668,-3.0724,-1.2142,-1.8668,sku,-1.8668,0.7208,0.0096,0.5037,True,1.4611,1.4611,False,ELASTIC,OK
SKU0024,Electric Kettle,Home & Kitchen,27,8.36,-1.7296,-1.7296,-2.4856,-0.7637,-1.7296,sku,-1.7296,0.4284,0.0001,0.4161,True,1.002,1.002,False,ELASTIC,OK
SKU0012,Protein Oats 1kg,Groceries,27,7.16,-1.5067,-1.5067,-1.6217,-0.2207,-1.5067,sku,-1.5067,0.7437,0.0428,0.4214,True,1.0419,1.0419,False,ELASTIC,OK
SKU0020,Air Fryer 4L,Home & Kitchen,27,6.84,-1.4459,-1.4459,-0.424,-0.7637,-1.4459,sku,-1.4459,0.4989,0.0038,0.3861,True,1.0203,1.0203,False,ELASTIC,OK
SKU0016,Running Jacket,Apparel,27,6.62,-1.4252,-1.4252,0.4284,-0.8507,-1.4252,sku,-1.4252,0.4378,0.0011,0.2474,True,1.0468,1.0468,False,ELASTIC,OK
SKU0031,Body Lotion 400ml,Beauty & Personal Care,27,6.89,-1.4125,-1.4125,-4.7796,-0.7596,-1.4125,sku,-1.4125,0.4894,0.0039,0.423,True,1.2452,1.2452,False,ELASTIC,OK
