week_start_date,sku_id,category,current_price,current_quantity,cost_price,is_on_promo,normal_elasticity,promo_elasticity,final_elasticity,elasticity,competitor_price,margin_target,elasticity_p_value
2024-07-01,SKU0001,Electronics,11365.814729729733,148,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9291.879,0.18,0.4324
2024-07-08,SKU0001,Electronics,10764.77175,160,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8909.088000000002,0.18,0.4324
2024-07-15,SKU0001,Electronics,12962.745842696631,89,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8887.224,0.18,0.4324
2024-07-22,SKU0001,Electronics,12968.80761904762,84,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8627.472,0.18,0.4324
2024-07-29,SKU0001,Electronics,13073.121692307692,65,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8527.056,0.18,0.4324
2024-08-05,SKU0001,Electronics,11324.75448275862,116,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9106.059,0.18,0.4324
2024-08-12,SKU0001,Electronics,11012.749444444444,126,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8508.12,0.18,0.4324
2024-08-19,SKU0001,Electronics,12958.994933333332,75,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8629.923,0.18,0.4324
2024-08-26,SKU0001,Electronics,12547.79042857143,70,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8610.627,0.18,0.4324
2024-09-02,SKU0001,Electronics,11294.97757009346,107,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8829.624000000002,0.18,0.4324
2024-09-09,SKU0001,Electronics,12304.032068965518,87,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8768.259,0.18,0.4324
2024-09-16,SKU0001,Electronics,11837.069745762712,118,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9288.594,0.18,0.4324
2024-09-23,SKU0001,Electronics,10325.4685840708,113,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8588.733,0.18,0.4324
2024-09-30,SKU0001,Electronics,11826.990476190476,84,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8740.127999999999,0.18,0.4324
2024-10-07,SKU0001,Electronics,12693.994102564104,78,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8808.413999999999,0.18,0.4324
2024-10-14,SKU0001,Electronics,12409.781222222224,90,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8865.168,0.18,0.4324
2024-10-21,SKU0001,Electronics,11862.897014925373,67,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8319.69,0.18,0.4324
2024-10-28,SKU0001,Electronics,12639.402298850577,87,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,7957.77,0.18,0.4324
2024-11-04,SKU0001,Electronics,11484.985757575758,99,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,9075.159,0.18,0.4324
2024-11-11,SKU0001,Electronics,12297.007857142858,70,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8642.328,0.18,0.4324
2024-11-18,SKU0001,Electronics,11518.121627906976,86,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8580.126,0.18,0.4324
2024-11-25,SKU0001,Electronics,12688.610975609758,82,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8574.084,0.18,0.4324
2024-12-02,SKU0001,Electronics,12953.39792682927,82,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8674.653,0.18,0.4324
2024-12-09,SKU0001,Electronics,11568.77448275862,87,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8686.538999999999,0.18,0.4324
2024-12-16,SKU0001,Electronics,11564.656636363636,110,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8332.494,0.18,0.4324
2024-12-23,SKU0001,Electronics,12246.598068181816,88,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8959.263,0.18,0.4324
2024-12-30,SKU0001,Electronics,11824.967142857144,28,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8546.910000000002,0.18,0.4324
2024-07-01,SKU0002,Electronics,17489.128724137932,290,18000,True,-0.7486,-2.7505,-2.7505,-2.7505,21997.556666666667,0.18,0.4094
2024-07-08,SKU0002,Electronics,20573.90927272728,165,18000,True,-0.7486,-2.7505,-2.7505,-2.7505,21723.59,0.18,0.4094
2024-07-15,SKU0002,Electronics,22632.095,134,18000,False,-0.7486,-2.7505,-0.7486,-0.7486,22411.83333333333,0.18,0.4094
2024-07-22,SKU0002,Electronics,21607.813741935483,155,18000,False,-0.7486,-2.7505,-0.7486,-0.7486,21334.27333333333,0.18,0.4094
2024-07-29,SKU0002,Electronics,20338.68707070707,198,18000,False,-0.7486,-2.7505,-0.7486,-0.7486,20782.710000000003,0.18,0.4094
2024-08-05,SKU0002,Electronics,18583.051111111112,162,18000,True,-0.7486,-2.7505,-2.7505,-2.7505,21609.78,0.18,0.4094
2024-08-12,SKU0002,Electronics,17090.358301886794,265,18000,True,-0.7486,-2.7505,-2.7505,-2.7505,21622.846666666665,0.18,0.4094
2024-08-19,SKU0002,Electronics,21827.869545454545,176,18000,False,-0.7486,-2.7505,-0.7486,-0.7486,20600.79333333333,0.18,0.4094
2024-08-26,SKU0002,Electronics,21253.342880434782,184,18000,False,-0.7486,-2.7505,-0.7486,-0.7486,19758.88666666667,0.18,0.4094
