week_start_date,sku_id,category,current_price,current_quantity,cost_price,is_on_promo,normal_elasticity,promo_elasticity,final_elasticity,elasticity,competitor_price,margin_target,elasticity_p_value,recommended_price,predicted_quantity,predicted_revenue,predicted_gross_margin,predicted_profit,volume_change_pct,price_change_pct,historical_revenue,historical_profit,revenue_change_pct,profit_change_pct
2024-07-01,SKU0001,Electronics,11365.814729729733,148,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9291.879,0.18,0.4324,10220.201876866526,168.8369308299278,1725547.517352412,21.723659704726213,374852.0707129895,14.079007317518787,-10.07946091067814,1682140.5800000005,498140.5800000004,2.5804583676598103,-24.749742188642976
2024-07-08,SKU0001,Electronics,10764.77175,160,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8909.088000000002,0.18,0.4324,9799.539175034823,179.76403035212064,1761604.6576977551,18.363508149641415,323492.41488079,12.35251897007541,-8.966586541560229,1722363.48,442363.48,2.27833312500072,-26.871808025203613
2024-07-15,SKU0001,Electronics,12962.745842696631,89,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8887.224,0.18,0.4324,,,,,,,,1153684.3800000001,441684.3800000002,,
2024-07-22,SKU0001,Electronics,12968.80761904762,84,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8627.472,0.18,0.4324,,,,,,,,1089379.84,417379.8400000001,,
2024-07-29,SKU0001,Electronics,13073.121692307692,65,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8527.056,0.18,0.4324,,,,,,,,849752.9099999999,329752.91,,
2024-08-05,SKU0001,Electronics,11324.75448275862,116,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9106.059,0.18,0.4324,10015.402719586009,135.08719577537792,1352952.6679499676,20.123032253557913,272255.1017469443,16.4544791167051,-11.561855624914742,1313671.52,385671.52,2.990180372485174,-29.40751711535654
2024-08-12,SKU0001,Electronics,11012.749444444444,126,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8508.12,0.18,0.4324,,,,,,,,1387606.43,379606.42999999993,,
2024-08-19,SKU0001,Electronics,12958.994933333332,75,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8629.923,0.18,0.4324,,,,,,,,971924.6199999999,371924.6199999999,,
2024-08-26,SKU0001,Electronics,12547.79042857143,70,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8610.627,0.18,0.4324,,,,,,,,878345.3300000001,318345.33000000013,,
2024-09-02,SKU0001,Electronics,11294.97757009346,107,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8829.624000000002,0.18,0.4324,,,,,,,,1208562.6000000003,352562.60000000027,,
2024-09-09,SKU0001,Electronics,12304.032068965518,87,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8768.259,0.18,0.4324,,,,,,,,1070450.79,374450.7900000001,,
2024-09-16,SKU0001,Electronics,11837.069745762712,118,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,9288.594,0.18,0.4324,10217.38356649153,141.61550905044504,1446939.9749323498,21.702068362820015,314015.9025287893,20.013143263089027,-13.683168335229057,1396774.23,452774.23000000004,3.591542846000939,-30.646251106475454
2024-09-23,SKU0001,Electronics,10325.4685840708,113,8000,True,-0.6959,-1.2398,-1.2398,-1.2398,8588.733,0.18,0.4324,,,,,,,,1166777.9500000004,262777.9500000005,,
2024-09-30,SKU0001,Electronics,11826.990476190476,84,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8740.127999999999,0.18,0.4324,,,,,,,,993467.2,321467.2,,
2024-10-07,SKU0001,Electronics,12693.994102564104,78,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8808.413999999999,0.18,0.4324,,,,,,,,990131.54,366131.5400000001,,
2024-10-14,SKU0001,Electronics,12409.781222222224,90,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8865.168,0.18,0.4324,,,,,,,,1116880.31,396880.3100000001,,
2024-10-21,SKU0001,Electronics,11862.897014925373,67,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8319.69,0.18,0.4324,,,,,,,,794814.1,258814.09999999998,,
2024-10-28,SKU0001,Electronics,12639.402298850577,87,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,7957.77,0.18,0.4324,,,,,,,,1099628.0000000002,403628.0000000002,,
2024-11-04,SKU0001,Electronics,11484.985757575758,99,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,9075.159,0.18,0.4324,9980.596466332698,109.16086700658703,1089490.563507756,19.84446994740039,216203.62745505982,10.263502026855576,-13.098747556136326,1137013.59,345013.59,-4.179635750197508,-37.3347503630046
2024-11-11,SKU0001,Electronics,12297.007857142858,70,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8642.328,0.18,0.4324,,,,,,,,860790.55,300790.5500000001,,
2024-11-18,SKU0001,Electronics,11518.121627906976,86,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8580.126,0.18,0.4324,,,,,,,,990558.46,302558.4599999999,,
2024-11-25,SKU0001,Electronics,12688.610975609758,82,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8574.084,0.18,0.4324,,,,,,,,1040466.1000000001,384466.1000000001,,
2024-12-02,SKU0001,Electronics,12953.39792682927,82,8000,False,-0.6959,-1.2398,-0.6959,-0.6959,8674.653,0.18,0.4324,,,,,,,,1062178.6300000001,406178.6300000001,,
